POINT;LONGITUDE;LATITUDE
B1;106.501.544;-4.999.928
B2;106.557.475;-5.012.225
B3;106.557.194;-506.245
B4;106.593.089;-5.062.783
B5;106.592.719;-5.171.453
B6;106.628.578;-5.171.589
B7;106.628.475;-5.198.333
B8;106.655.925;-5.198.447
B9;106.655.964;-520.765
B10;106.682.639;-5.207.689
B11;106.682.556;-5.234.358
B12;106.688.378;-5.234.389
B13;106.688.183;-528.885
B14;10.660.145;-5.288.519
B15;106.600.611;-5.361.253
B16;10.661.835;-5.361.319
B17;106.618.197;-5.449.878
B18;106.501.544;-5.449.878
B19;106.501.544;-4.999.928
