POINT;LONGITUDE;LATITUDE
A1;106.784.844;-610.565
A2;106.784.847;-6.065.867
A3;106.798.917;-6.065.925
A4;106.799.314;-5.966.986
A5;106.787.517;-5.966.942
A6;106.788.217;-5.930.794
A7;106.797.092;-5.930.828
A8;106.797.161;-5.913.056
A9;106.815.433;-5.913.156
A10;106.815.592;-5.903.664
A11;106.824.397;-5.903.636
A12;106.824.433;-5.894.758
A13;1.068.333;-5.894.794
A14;106.833.333;-5.885.978
A15;106.851.731;-5.886.017
A16;106.851.767;-5.876.458
A17;106.860.781;-5.876.483
A18;10.686.075;-5.858.803
A19;106.941.781;-5.859.006
A20;106.941.811;-5.850.264
A21;106.951.197;-5.850.225
A22;106.951.286;-5.841.375
A23;106.960.186;-5.841.356
A24;106.960.183;-5.833.172
A25;106.968.164;-5.833.172
A26;106.968.158;-5.783.178
A27;107.018.211;-5.783.183
A28;107.018.128;-57.541
A29;107.086.822;-5.754.369
A30;107.086.689;-5.796.292
A31;107.141.419;-5.796.472
A32;107.141.536;-5.760.306
A33;107.222.294;-5.760.681
A34;107.223.961;-55.707
A35;107.195.728;-5.570.603
A36;107.195.783;-5.552.494
A37;107.018.161;-555.195
A38;107.018.153;-5.466.547
A39;106.968.156;-5.466.542
A40;106.968.156;-5.349.889
A41;107.034.814;-5.349.889
A42;107.034.814;-5.333.228
A43;107.301.453;-5.333.222
A44;107.301.294;-5.670.383
A45;107.329.375;-5.670.472
A46;107.329.728;-5.599.878
A47;107.357.594;-5.599.858
A48;107.357.519;-5.625.025
A49;107.372.686;-5.625.075
A50;107.372.586;-5.670.606
A51;107.384.544;-5.670.639
A52;107.384.414;-57.156
A53;107.429.925;-5.715.719
A54;107.430.047;-5.670.689
A55;1.074.212;-5.670.767
A56;1.074.213;-5.634.692
A57;107.402.975;-5.634.647
A58;107.403.078;-5.597.981
A59;107.393.589;-5.598.567
A60;107.393.864;-5.589.703
A61;107.429.617;-55.898
A62;107.429.575;-5.607.508
A63;107.474.506;-5.607.639
A64;107.474.378;-5.652.564
A65;107.457.214;-56.525
A66;107.457.075;-5.706.928
A67;107.537.683;-5.707.122
A68;107.537.367;-5.725.497
A69;107.565.369;-5.725.558
A70;107.565.392;-5.716.697
A71;107.601.036;-5.716.722
A72;107.601.014;-5.725.647
A73;107.627.717;-5.725.811
A74;107.627.481;-57.801
A75;107.664.111;-5.780.206
A76;107.664.289;-5.725.806
A77;10.769.145;-5.725.869
A78;107.691.336;-57.708
A79;107.746.303;-5.770.914
A80;107.746.264;-5.789.319
A81;107.790.481;-5.789.417
A82;1.077.905;-5.798.225
A83;107.809.469;-5.798.264
A84;107.809.428;-5.807.753
A85;107.817.903;-5.806.822
A86;107.817.975;-5.816.381
A87;107.881.244;-5.816.519
A88;107.881.186;-5.825.589
A89;107.917.306;-5.825.625
A90;107.917.244;-5.856.047
A91;107.881.164;-5.856.039
A92;107.881.131;-5.843.625
A93;107.817.906;-5.843.478
A94;107.817.272;-5.870.594
A95;107.908.775;-5.870.831
A96;10.790.815;-5.880.517
A97;107.983.928;-5.880.578
A98;107.983.708;-5.970.489
A99;108.061.606;-5.970.606
A100;108.061.775;-5.871.103
A101;108.161.131;-5.871.239
A102;108.161.106;-5.889.358
A103;108.234.667;-5.889.303
A104;108.234.667;-5.934.692
A105;108.170.069;-5.934.597
A106;108.169.878;-6.061.189
A107;108.214.817;-6.061.256
A108;108.214.856;-6.070.328
A109;108.269.319;-6.070.403
A110;108.269.294;-6.088.022
A111;108.315.236;-6.088.636
A112;108.315.222;-6.097.736
A113;108.332.289;-6.097.758
A114;108.332.156;-6.206.242
A115;108.422.408;-6.206.347
A116;10.842.245;-6.151.828
A117;108.432.078;-6.151.561
A118;108.432.144;-6.095.656
A119;108.486.119;-6.095.664
A120;108.486.078;-6.142.981
A121;108.522.225;-6.143.069
A122;1.085.216;-6.216.461
A123;108.467.978;-6.216.464
A124;108.467.978;-6.266.461
A125;108.551.306;-6.266.467
A126;108.551.306;-6.299.792
A127;108.617.961;-6.299.792
A128;108.617.961;-6.349.786
A129;108.603.414;-6.349.694
A130;108.603.353;-6.423.528
A131;108.711.731;-6.423.528
A132;108.711.886;-6.369.358
A133;108.748.069;-6.369.378
A134;108.783.794;-6.400.956
A135;108.783.794;-6.405.572
A136;108.784.361;-6.459.878
A137;108.693.764;-6.459.819
A138;108.693.736;-6.505.039
A139;108.657.558;-6.505.017
A140;108.657.533;-65.412
A141;108.546.606;-6.541.111
A142;108.540.703;-6.483.981
A143;108.539.858;-6.423.592
A144;108.558.131;-6.423.608
A145;108.558.175;-6.369.467
A146;1.085.315;-6.369.444
A147;108.531.533;-6.333.236
A148;108.485.478;-6.333.192
A149;108.485.444;-63.694
A150;108.458.556;-6.369.372
A151;108.458.525;-6.396.275
A152;108.417.839;-6.396.231
A153;108.081.978;-5.937.467
A154;107.149.486;-5.896.706
A155;107.149.367;-5.850.561
A156;107.131.542;-5.850.503
A157;1.071.316;-5.841.594
A158;107.113.519;-5.841.517
A159;107.113.586;-5.832.903
A160;107.095.567;-581.975
A161;107.095.558;-5.823.375
A162;107.086.603;-5.823.361
A163;107.086.622;-5.814.203
A164;107.068.389;-5.814.144
A165;107.077.347;-5.841.961
A166;107.032.556;-5.841.259
A167;107.031.514;-5.886.583
A168;107.018.153;-5.886.531
A169;107.018.156;-5.866.506
A170;106.951.216;-5.866.508
A171;106.951.216;-5.899.833
A172;106.918.161;-5.899.836
A173;106.918.161;-5.916.497
A174;106.884.872;-5.916.497
A175;106.884.872;-5.932.944
A176;106.851.503;-5.932.886
A177;106.851.503;-5.966.497
A178;106.834.512;-5.966.494
A179;106.834.512;-6.033.156
A180;106.818.173;-6.033.153
A181;106.818.172;-6.066.483
A182;106.851.503;-6.066.489
A183;106.851.503;-608.315
A184;106.868.169;-6.083.153
A185;106.868.169;-6.108.147
A186;106.784.844;-610.565
